question_id,content,correct_answer,option_a,option_b,option_c,option_d
Q1,"If (x - 1)(x - 1) = 0, what is the sum of roots?",A,2,3,1,4
Q2,"If (x - 3)(x - 2) = 0, what is the sum of roots?",A,5,6,4,7
Q3,"If (x - 2)(x - 2) = 0, what is the sum of roots?",A,4,5,3,6
Q4,"If (x - 1)(x - 5) = 0, what is the sum of roots?",A,6,7,5,8
Q5,"If (x - 1)(x - 5) = 0, what is the sum of roots?",A,6,7,5,8
Q6,"If (x - 4)(x - 1) = 0, what is the sum of roots?",A,5,6,4,7
Q7,"If (x - 1)(x - 1) = 0, what is the sum of roots?",A,2,3,1,4
Q8,"If (x - 2)(x - 2) = 0, what is the sum of roots?",A,4,5,3,6
Q9,"If (x - 5)(x - 5) = 0, what is the sum of roots?",A,10,11,9,12
Q10,"If (x - 1)(x - 5) = 0, what is the sum of roots?",A,6,7,5,8
Q11,"Given x^2 - 7x + 10 = 0, what is the product of roots?",A,10,11,9,12
Q12,"Given x^2 - 6x + 8 = 0, what is the product of roots?",A,8,9,7,10
Q13,"Given x^2 - 9x + 20 = 0, what is the product of roots?",A,20,21,19,22
Q14,"Given x^2 - 4x + 3 = 0, what is the product of roots?",A,3,4,2,5
Q15,"Given x^2 - 6x + 8 = 0, what is the product of roots?",A,8,9,7,10
Q16,"Given x^2 - 6x + 9 = 0, what is the product of roots?",A,9,10,8,11
Q17,"Given x^2 - 4x + 4 = 0, what is the product of roots?",A,4,5,3,6
Q18,"Given x^2 - 4x + 3 = 0, what is the product of roots?",A,3,4,2,5
Q19,"Given x^2 - 5x + 4 = 0, what is the product of roots?",A,4,5,3,6
Q20,"Given x^2 - 4x + 3 = 0, what is the product of roots?",A,3,4,2,5
Q21,"For y = (x - 0)^2 + 4, what is the x-coordinate of the vertex?",A,0,1,-1,2
Q22,"For y = (x - -1)^2 + -5, what is the x-coordinate of the vertex?",A,-1,0,-2,1
Q23,"For y = (x - 2)^2 + 3, what is the x-coordinate of the vertex?",A,2,3,1,4
Q24,"For y = (x - -4)^2 + 1, what is the x-coordinate of the vertex?",A,-4,-3,-5,-2
Q25,"For y = (x - -4)^2 + 3, what is the x-coordinate of the vertex?",A,-4,-3,-5,-2
Q26,"For y = (x - -1)^2 + 5, what is the x-coordinate of the vertex?",A,-1,0,-2,1
Q27,"For y = (x - 4)^2 + 0, what is the x-coordinate of the vertex?",A,4,5,3,6
Q28,"For y = (x - 4)^2 + -2, what is the x-coordinate of the vertex?",A,4,5,3,6
Q29,"For y = (x - -4)^2 + -5, what is the x-coordinate of the vertex?",A,-4,-3,-5,-2
Q30,"For y = (x - 5)^2 + -2, what is the x-coordinate of the vertex?",A,5,6,4,7
Q31,What is the discriminant of x^2 + 5x + -4 = 0?,A,41,42,40,43
Q32,What is the discriminant of x^2 + 4x + -4 = 0?,A,32,33,31,34
Q33,What is the discriminant of x^2 + 7x + -1 = 0?,A,53,54,52,55
Q34,What is the discriminant of x^2 + 8x + 5 = 0?,A,44,45,43,46
Q35,What is the discriminant of x^2 + 6x + -3 = 0?,A,48,49,47,50
Q36,What is the discriminant of x^2 + 6x + 0 = 0?,A,36,37,35,38
Q37,What is the discriminant of x^2 + 4x + 5 = 0?,A,-4,-3,-5,-2
Q38,What is the discriminant of x^2 + 5x + 5 = 0?,A,5,6,4,7
Q39,What is the discriminant of x^2 + 2x + 4 = 0?,A,-12,-11,-13,-10
Q40,What is the discriminant of x^2 + 3x + 3 = 0?,A,-3,-2,-4,-1
Q41,"For y = -1x^2, which direction does the parabola open?",B,up,down,left,right
Q42,"For y = -1x^2, which direction does the parabola open?",B,up,down,left,right
Q43,"For y = 2x^2, which direction does the parabola open?",A,up,down,left,right
Q44,"For y = 2x^2, which direction does the parabola open?",A,up,down,left,right
Q45,"For y = 1x^2, which direction does the parabola open?",A,up,down,left,right
Q46,"For y = -1x^2, which direction does the parabola open?",B,up,down,left,right
Q47,"For y = 1x^2, which direction does the parabola open?",A,up,down,left,right
Q48,"For y = -2x^2, which direction does the parabola open?",B,up,down,left,right
Q49,"For y = -1x^2, which direction does the parabola open?",B,up,down,left,right
Q50,"For y = -2x^2, which direction does the parabola open?",B,up,down,left,right
